t (s)	q (C)
4.1999999999999846e-18	5.74764958925e-22
4.2099999999999845e-18	5.74621742018e-22
4.2199999999999845e-18	5.7447982751e-22
4.2299999999999844e-18	5.74339203795e-22
4.239999999999984e-18	5.74199859362e-22
4.249999999999984e-18	5.74061782799e-22
4.259999999999984e-18	5.73924962792e-22
4.269999999999984e-18	5.73789388123e-22
4.279999999999984e-18	5.7365504767e-22
4.289999999999984e-18	5.73521930404e-22
4.299999999999984e-18	5.73390025393e-22
4.309999999999984e-18	5.73259321798e-22
4.319999999999984e-18	5.73129808872e-22
4.329999999999984e-18	5.73001475961e-22
4.339999999999984e-18	5.72874312501e-22
4.349999999999984e-18	5.7274830802e-22
4.359999999999984e-18	5.72623452136e-22
4.369999999999984e-18	5.72499734557e-22
4.379999999999984e-18	5.72377145079e-22
4.3899999999999836e-18	5.72255673584e-22
4.3999999999999835e-18	5.72135310046e-22
4.4099999999999835e-18	5.7201604452e-22
4.4199999999999834e-18	5.71897867152e-22
4.429999999999983e-18	5.7178076817e-22
4.439999999999983e-18	5.71664737888e-22
4.449999999999983e-18	5.71549766703e-22
4.459999999999983e-18	5.71435845096e-22
4.469999999999983e-18	5.71322963632e-22
4.479999999999983e-18	5.71211112955e-22
4.489999999999983e-18	5.71100283792e-22
4.499999999999983e-18	5.7099046695e-22
4.509999999999983e-18	5.70881653317e-22
4.519999999999983e-18	5.70773833861e-22
4.529999999999983e-18	5.70666999625e-22
4.539999999999983e-18	5.70561141735e-22
4.549999999999983e-18	5.70456251392e-22
4.559999999999983e-18	5.70352319872e-22
4.569999999999983e-18	5.70249338532e-22
4.5799999999999826e-18	5.701472988e-22
4.5899999999999825e-18	5.70046192181e-22
4.5999999999999825e-18	5.69946010255e-22
4.6099999999999824e-18	5.69846744676e-22
4.619999999999982e-18	5.69748387168e-22
4.629999999999982e-18	5.69650929532e-22
4.639999999999982e-18	5.69554363638e-22
4.649999999999982e-18	5.69458681428e-22
4.659999999999982e-18	5.69363874917e-22
4.669999999999982e-18	5.69269936186e-22
4.679999999999982e-18	5.69176857389e-22
4.689999999999982e-18	5.69084630749e-22
4.699999999999982e-18	5.68993248555e-22
4.709999999999982e-18	5.68902703168e-22
4.719999999999982e-18	5.68812987012e-22
4.729999999999982e-18	5.68724092581e-22
4.739999999999982e-18	5.68636012433e-22
4.749999999999982e-18	5.68548739195e-22
4.7599999999999816e-18	5.68462265555e-22
4.7699999999999816e-18	5.68376584269e-22
4.7799999999999815e-18	5.68291688155e-22
4.7899999999999814e-18	5.68207570096e-22
4.7999999999999814e-18	5.68124223037e-22
4.809999999999981e-18	5.68041639987e-22
4.819999999999981e-18	5.67959814015e-22
4.829999999999981e-18	5.67878738252e-22
4.839999999999981e-18	5.67798405891e-22
4.849999999999981e-18	5.67718810185e-22
4.859999999999981e-18	5.67639944446e-22
4.869999999999981e-18	5.67561802046e-22
4.879999999999981e-18	5.67484376417e-22
4.889999999999981e-18	5.67407661047e-22
4.899999999999981e-18	5.67331649485e-22
4.909999999999981e-18	5.67256335335e-22
4.919999999999981e-18	5.67181712259e-22
4.929999999999981e-18	5.67107773974e-22
4.939999999999981e-18	5.67034514256e-22
4.9499999999999806e-18	5.66961926933e-22
4.9599999999999805e-18	5.6689000589e-22
4.9699999999999805e-18	5.66818745068e-22
4.9799999999999804e-18	5.66748138458e-22
4.98999999999998e-18	5.66678180108e-22
